iter	Passed	Remaining
1314	8937	4655
1315	8943	4648
1316	8949	4641
1317	8955	4634
1318	8962	4627
1319	8968	4620
1320	8976	4613
1321	8982	4606
1322	8990	4600
1323	8997	4593
1324	9003	4586
1325	9010	4580
1326	9017	4573
1327	9024	4566
1328	9031	4559
1329	9037	4552
1330	9044	4546
1331	9051	4539
1332	9057	4532
1333	9064	4525
1334	9070	4518
1335	9076	4511
1336	9083	4504
1337	9090	4497
1338	9096	4490
1339	9102	4483
1340	9109	4476
1341	9115	4469
1342	9122	4462
1343	9128	4455
1344	9135	4448
1345	9141	4441
1346	9150	4435
1347	9159	4430
1348	9166	4423
1349	9173	4416
1350	9181	4410
1351	9188	4403
1352	9194	4396
1353	9201	4389
1354	9208	4383
1355	9215	4376
1356	9222	4369
1357	9229	4363
1358	9236	4356
1359	9243	4350
1360	9250	4343
1361	9257	4336
1362	9263	4329
1363	9270	4322
1364	9276	4315
1365	9283	4308
1366	9289	4301
1367	9296	4294
1368	9303	4287
1369	9309	4281
1370	9316	4274
1371	9324	4267
1372	9331	4261
1373	9338	4254
1374	9349	4249
1375	9356	4242
1376	9363	4236
1377	9370	4229
1378	9377	4222
1379	9384	4216
1380	9390	4209
1381	9397	4202
1382	9404	4195
1383	9410	4188
1384	9417	4181
1385	9424	4175
1386	9431	4168
1387	9437	4161
1388	9444	4154
1389	9451	4147
1390	9457	4140
1391	9464	4133
1392	9470	4126
1393	9477	4120
1394	9483	4113
1395	9490	4106
1396	9497	4099
1397	9504	4092
1398	9510	4085
1399	9517	4079
1400	9524	4072
1401	9531	4065
1402	9537	4058
1403	9546	4052
1404	9552	4045
1405	9559	4038
1406	9565	4031
1407	9572	4024
1408	9578	4017
1409	9585	4011
1410	9592	4004
1411	9599	3997
1412	9606	3990
1413	9613	3984
1414	9620	3977
1415	9627	3970
1416	9634	3963
1417	9641	3957
1418	9647	3950
1419	9654	3943
1420	9661	3936
1421	9667	3929
1422	9674	3922
1423	9683	3916
1424	9689	3909
1425	9696	3903
1426	9703	3896
1427	9710	3889
1428	9716	3882
1429	9723	3875
1430	9730	3868
1431	9736	3862
1432	9743	3855
1433	9750	3848
1434	9757	3841
1435	9764	3835
1436	9771	3828
1437	9778	3821
1438	9784	3814
1439	9791	3807
1440	9798	3800
1441	9805	3794
1442	9812	3787
1443	9818	3780
1444	9825	3773
1445	9832	3767
1446	9838	3760
1447	9845	3753
1448	9851	3746
1449	9858	3739
1450	9865	3732
1451	9872	3725
1452	9879	3719
1453	9885	3712
1454	9892	3705
1455	9899	3698
1456	9906	3691
1457	9912	3685
1458	9919	3678
1459	9926	3671
1460	9934	3664
1461	9940	3657
1462	9946	3651
1463	9953	3644
1464	9960	3637
1465	9967	3630
1466	9973	3623
1467	9984	3618
1468	9990	3611
1469	9996	3604
1470	10003	3597
1471	10009	3590
1472	10016	3583
1473	10023	3576
1474	10029	3569
1475	10037	3563
1476	10044	3556
1477	10050	3549
1478	10057	3542
1479	10063	3535
1480	10070	3529
1481	10077	3522
1482	10083	3515
1483	10090	3508
1484	10096	3501
1485	10103	3494
1486	10110	3487
1487	10116	3480
1488	10122	3474
1489	10129	3467
1490	10135	3460
1491	10143	3453
1492	10149	3446
1493	10156	3439
1494	10163	3433
1495	10170	3426
1496	10177	3419
1497	10184	3412
1498	10190	3405
1499	10197	3399
1500	10204	3392
1501	10210	3385
1502	10217	3378
1503	10224	3371
1504	10231	3365
1505	10238	3358
1506	10245	3351
1507	10252	3345
1508	10259	3338
1509	10266	3331
1510	10273	3324
1511	10281	3318
1512	10288	3311
1513	10295	3304
1514	10303	3298
1515	10312	3292
1516	10319	3285
1517	10326	3278
1518	10333	3272
1519	10339	3265
1520	10346	3258
1521	10353	3251
1522	10361	3245
1523	10368	3238
1524	10375	3231
1525	10383	3225
1526	10392	3219
1527	10399	3212
1528	10405	3205
1529	10412	3198
1530	10418	3191
1531	10425	3184
1532	10432	3178
1533	10439	3171
1534	10446	3164
1535	10453	3157
1536	10460	3150
1537	10466	3144
1538	10475	3137
1539	10482	3131
1540	10489	3124
1541	10495	3117
1542	10502	3110
1543	10510	3104
1544	10517	3097
1545	10524	3090
1546	10530	3083
1547	10537	3076
1548	10544	3069
1549	10550	3063
1550	10557	3056
1551	10563	3049
1552	10570	3042
1553	10576	3035
1554	10583	3028
1555	10590	3021
1556	10596	3014
1557	10603	3008
1558	10610	3001
1559	10617	2994
1560	10625	2988
1561	10632	2981
1562	10639	2974
1563	10647	2968
1564	10653	2961
1565	10660	2954
1566	10667	2947
1567	10674	2940
1568	10680	2933
1569	10687	2927
1570	10693	2920
1571	10700	2913
1572	10707	2906
1573	10714	2899
1574	10721	2893
1575	10727	2886
1576	10734	2879
1577	10741	2872
1578	10748	2865
1579	10755	2859
1580	10762	2852
1581	10770	2845
1582	10776	2838
1583	10784	2832
1584	10791	2825
1585	10799	2818
1586	10805	2812
1587	10812	2805
1588	10819	2798
1589	10826	2791
1590	10833	2785
1591	10840	2778
1592	10847	2771
1593	10854	2764
1594	10861	2757
1595	10867	2751
1596	10874	2744
1597	10881	2737
1598	10888	2730
1599	10895	2723
1600	10902	2717
1601	10912	2711
1602	10919	2704
1603	10926	2697
1604	10932	2690
1605	10939	2683
1606	10946	2677
1607	10953	2670
1608	10960	2663
1609	10967	2656
1610	10974	2649
1611	10980	2643
1612	10987	2636
1613	10993	2629
1614	11000	2622
1615	11007	2615
1616	11014	2608
1617	11020	2601
1618	11027	2595
1619	11034	2588
1620	11041	2581
1621	11048	2574
1622	11054	2567
1623	11061	2561
1624	11068	2554
1625	11075	2547
1626	11083	2540
1627	11089	2534
1628	11096	2527
1629	11102	2520
1630	11110	2513
1631	11117	2506
1632	11124	2500
1633	11131	2493
1634	11139	2486
1635	11146	2480
1636	11154	2473
1637	11161	2466
1638	11169	2460
1639	11176	2453
1640	11182	2446
1641	11189	2439
1642	11196	2432
1643	11202	2425
1644	11210	2419
1645	11217	2412
1646	11224	2405
1647	11232	2399
1648	11239	2392
1649	11246	2385
1650	11253	2378
1651	11260	2372
1652	11266	2365
1653	11273	2358
1654	11279	2351
1655	11286	2344
1656	11293	2337
1657	11299	2330
1658	11306	2323
1659	11312	2316
1660	11319	2310
1661	11326	2303
1662	11332	2296
1663	11339	2289
1664	11346	2283
1665	11353	2276
1666	11360	2269
1667	11367	2262
1668	11374	2255
1669	11380	2248
1670	11386	2241
1671	11394	2235
1672	11400	2228
1673	11406	2221
1674	11413	2214
1675	11419	2207
1676	11427	2200
